2.410000000000001474e+00 1.941329422294331808e+00 3.594103665971194045e-02
2.420000000000001705e+00 1.873685658003165999e+00 3.392500169222177619e-02
2.430000000000001492e+00 1.808839206144495337e+00 3.189082191597720356e-02
2.440000000000001723e+00 1.747172898246400319e+00 2.988025504493406481e-02
2.450000000000001510e+00 1.688570372851367019e+00 2.791145823220974806e-02
2.460000000000001297e+00 1.632766675898559505e+00 2.599316786823908584e-02
2.470000000000001972e+00 1.579780371669553096e+00 2.413581215031630409e-02
2.480000000000001759e+00 1.529859847126945782e+00 2.235287050579151669e-02
2.490000000000001545e+00 1.483149350288360147e+00 2.065677865358562723e-02
2.500000000000001776e+00 1.439548471262222407e+00 1.904892233770809698e-02
2.510000000000001563e+00 1.398869686198967344e+00 1.752570444224515328e-02
2.520000000000001794e+00 1.360883048318663802e+00 1.608517666237107083e-02
2.530000000000001581e+00 1.325423592362654279e+00 1.472881980737629493e-02
2.540000000000002256e+00 1.292434533215168990e+00 1.345804188500956955e-02
2.550000000000001155e+00 1.261951079572509293e+00 1.227022408447154926e-02
2.560000000000001830e+00 1.233993437982059627e+00 1.116040144119814261e-02
2.570000000000001616e+00 1.208539854418890336e+00 1.012192645738583564e-02
2.580000000000001847e+00 1.185485516886820800e+00 9.145090674791602620e-03
2.590000000000001634e+00 1.164607413444219253e+00 8.219790992623569534e-03
2.600000000000001865e+00 1.145636551683955950e+00 7.339964309210859211e-03
2.610000000000001652e+00 1.128334591295794054e+00 6.502166842487296268e-03
2.620000000000001439e+00 1.112542460355075091e+00 5.706984500416494716e-03
2.630000000000002114e+00 1.098183474908126289e+00 4.963220513475542425e-03
2.640000000000001901e+00 1.085298734599801973e+00 4.279301770419057654e-03
2.650000000000001688e+00 1.074023934714966932e+00 3.646057804915803571e-03
2.660000000000001474e+00 1.064429407998345845e+00 3.044395794673153757e-03
